"","GEOID","NAME","med_incE","med_incM","med_fE","med_fM","hh_incE","hh_incM","tot_hhE","tot_hhM","renter_householdersE","renter_householdersM","tot_pop_rentE","tot_pop_rentM","tot_huE","tot_huM","pop_huE","pop_huM","popTotEE","popTotEM"
"1","10001042000","Census Tract 420, Kent County, Delaware",32641,3819,NA,NA,1070,96,1070,96,387,213,387,213,1222,64,3166,264,3193,267
"2","10001042900","Census Tract 429, Kent County, Delaware",30901,2847,70417,51627,1884,128,1884,128,999,490,999,490,2115,100,4890,474,4898,474
"3","10001040700","Census Tract 407, Kent County, Delaware",26712,7063,NA,NA,1869,231,1869,231,2049,807,2081,828,2205,162,4767,1007,4908,1004
"4","10001041400","Census Tract 414, Kent County, Delaware",25352,6094,NA,NA,1484,141,1484,141,1990,419,2030,442,1743,127,3479,404,3639,406
"5","10001041500","Census Tract 415, Kent County, Delaware",27014,6231,78897,24233,1630,98,1630,98,2298,445,2319,459,1669,91,4499,354,4525,352
"6","10001041801","Census Tract 418.01, Kent County, Delaware",31471,4503,63261,50863,3956,190,3956,190,2084,594,2088,594,4279,106,10008,561,10008,561
"7","10001041802","Census Tract 418.02, Kent County, Delaware",39375,8565,43553,41770,2039,163,2039,163,1882,528,2066,618,2323,156,6020,496,6020,496
"8","10001040100","Census Tract 401, Kent County, Delaware",34264,3781,83856,854,2657,134,2657,134,1002,514,1002,514,2770,93,7078,467,7078,467
"9","10001041100","Census Tract 411, Kent County, Delaware",27357,2541,NA,NA,1250,111,1250,111,3463,361,3614,392,1279,106,3620,393,3920,389
"10","10001041200","Census Tract 412, Kent County, Delaware",26589,1940,76793,14947,1657,94,1657,94,1443,374,1472,381,1733,87,4630,383,4649,384
"11","10001041900","Census Tract 419, Kent County, Delaware",28654,4363,NA,NA,1908,126,1908,126,531,214,531,214,2138,67,5319,577,5336,576
"12","10001042201","Census Tract 422.01, Kent County, Delaware",27971,3740,58819,55928,4358,205,4358,205,3947,904,3978,913,4523,165,12271,741,12282,742
"13","10001042500","Census Tract 425, Kent County, Delaware",30370,3039,NA,NA,1635,170,1635,170,2402,411,2602,417,1812,178,3904,209,3963,194
"14","10001041000","Census Tract 410, Kent County, Delaware",30625,4357,47578,35505,2861,224,2861,224,3055,691,3109,706,3084,202,6488,552,6559,547
"15","10003001600","Census Tract 16, New Castle County, Delaware",22689,5409,73563,814,875,92,875,92,1275,256,1316,270,1188,46,2061,302,2211,342
"16","10003002300","Census Tract 23, New Castle County, Delaware",24231,6275,NA,NA,1001,126,1001,126,1574,302,1574,302,1291,67,2319,315,2331,313
"17","10003012000","Census Tract 120, New Castle County, Delaware",30818,4970,NA,NA,1670,100,1670,100,943,303,958,309,1826,37,4422,342,4460,342
"18","10003012200","Census Tract 122, New Castle County, Delaware",31875,5353,87200,32361,1712,78,1712,78,1722,384,1722,384,1800,59,4487,387,4538,377
"19","10003012900","Census Tract 129, New Castle County, Delaware",26714,2104,50938,23283,1769,97,1769,97,2077,462,2180,506,1976,40,4787,427,4787,427
"20","10003013200","Census Tract 132, New Castle County, Delaware",30983,7119,NA,NA,1000,48,1000,48,662,310,662,310,1027,28,3116,352,3116,352
"21","10003013604","Census Tract 136.04, New Castle County, Delaware",42500,7725,NA,NA,1598,49,1598,49,619,291,637,297,1660,27,4366,337,4372,337
"22","10003014200","Census Tract 142, New Castle County, Delaware",37875,5567,96964,16522,640,36,640,36,223,123,223,123,696,23,1825,115,1825,115
"23","10003014702","Census Tract 147.02, New Castle County, Delaware",38571,4473,NA,NA,638,61,638,61,107,59,107,59,735,22,1758,293,1766,293
"24","10003014705","Census Tract 147.05, New Castle County, Delaware",32476,4633,88618,81697,1899,97,1899,97,1657,514,1700,516,2041,35,5466,541,5524,542
"25","10003001200","Census Tract 12, New Castle County, Delaware",53839,3074,NA,NA,796,59,796,59,757,204,757,204,856,45,1686,165,1793,180
"26","10003011400","Census Tract 114, New Castle County, Delaware",50223,7325,NA,NA,1318,56,1318,56,355,116,355,116,1370,27,3314,164,3348,194
"27","10003012600","Census Tract 126, New Castle County, Delaware",36736,9619,NA,NA,1052,41,1052,41,657,326,666,323,1088,23,2972,276,2977,275
