"","GEOID","NAME","med_rentE","med_rentM","no_bedE","no_bedM","one_bedE","one_bedM","med_rent_percE","med_rent_percM","two_bedE","two_bedM","three_bedE","three_bedM","four_bedE","four_bedM","five_bedE","five_bedM"
"1","10001042000","Census Tract 420, Kent County, Delaware",838,55,NA,NA,NA,NA,18.1,2.7,NA,NA,895,836,NA,NA,NA,NA
"2","10001042900","Census Tract 429, Kent County, Delaware",1132,156,NA,NA,NA,NA,26,4.4,1085,526,1175,202,NA,NA,NA,NA
"3","10001040700","Census Tract 407, Kent County, Delaware",807,271,NA,NA,768,335,45.5,13,515,102,1454,225,NA,NA,NA,NA
"4","10001041400","Census Tract 414, Kent County, Delaware",1022,66,322,210,953,46,35.6,3.8,1056,71,1082,331,1090,424,NA,NA
"5","10001041500","Census Tract 415, Kent County, Delaware",948,74,NA,NA,666,184,33.5,5.4,792,55,1423,117,1677,127,1773,256
"6","10001041801","Census Tract 418.01, Kent County, Delaware",1120,52,NA,NA,921,65,34.4,9.2,1076,39,1193,175,1174,139,NA,NA
"7","10001041802","Census Tract 418.02, Kent County, Delaware",1408,120,NA,NA,NA,NA,22.1,9.9,1376,51,1540,204,1154,58,NA,NA
"8","10001040100","Census Tract 401, Kent County, Delaware",1123,182,NA,NA,NA,NA,33,5.4,965,215,1326,118,NA,NA,NA,NA
"9","10001041100","Census Tract 411, Kent County, Delaware",1568,80,NA,NA,NA,NA,40.8,4.5,1300,115,1519,97,1792,69,NA,NA
"10","10001041200","Census Tract 412, Kent County, Delaware",1121,117,NA,NA,894,194,29.3,4.8,772,298,1190,105,1830,184,NA,NA
"11","10001041900","Census Tract 419, Kent County, Delaware",1014,325,NA,NA,NA,NA,24.7,12.2,1038,673,897,604,NA,NA,NA,NA
"12","10001042201","Census Tract 422.01, Kent County, Delaware",1108,156,NA,NA,NA,NA,33.1,8.4,971,220,1107,169,1380,117,NA,NA
"13","10001042500","Census Tract 425, Kent County, Delaware",959,38,NA,NA,397,243,28.2,4.1,960,49,1060,105,NA,NA,NA,NA
"14","10001041000","Census Tract 410, Kent County, Delaware",1055,71,NA,NA,810,210,32.3,6.1,1064,77,1416,231,1698,297,NA,NA
"15","10003001600","Census Tract 16, New Castle County, Delaware",912,64,NA,NA,705,121,30.2,6.8,974,48,1042,233,NA,NA,NA,NA
"16","10003002300","Census Tract 23, New Castle County, Delaware",1013,131,NA,NA,982,115,34,9.8,885,97,1072,176,1253,181,NA,NA
"17","10003012000","Census Tract 120, New Castle County, Delaware",994,95,NA,NA,941,20,24.3,7.8,971,65,1699,99,NA,NA,NA,NA
"18","10003012200","Census Tract 122, New Castle County, Delaware",1046,105,NA,NA,779,54,25.9,9,1009,81,1239,210,NA,NA,NA,NA
"19","10003012900","Census Tract 129, New Castle County, Delaware",943,72,NA,NA,858,41,33.7,2.3,990,88,1125,503,1542,483,NA,NA
"20","10003013200","Census Tract 132, New Castle County, Delaware",885,276,NA,NA,NA,NA,34.8,19.7,836,71,NA,NA,NA,NA,NA,NA
"21","10003013604","Census Tract 136.04, New Castle County, Delaware",1151,136,NA,NA,NA,NA,30.7,13,1160,61,NA,NA,NA,NA,NA,NA
"22","10003014200","Census Tract 142, New Castle County, Delaware",1395,127,NA,NA,NA,NA,19.2,45.6,NA,NA,1591,272,NA,NA,NA,NA
"23","10003014702","Census Tract 147.02, New Castle County, Delaware",1848,302,NA,NA,NA,NA,23.9,22.4,1589,243,2125,223,NA,NA,NA,NA
"24","10003014705","Census Tract 147.05, New Castle County, Delaware",1348,58,1381,61,963,231,28.7,6.8,1346,45,1720,92,1272,181,NA,NA
"25","10003001200","Census Tract 12, New Castle County, Delaware",1498,162,NA,NA,1056,108,19.5,2.6,1612,132,1719,118,NA,NA,NA,NA
"26","10003011400","Census Tract 114, New Castle County, Delaware",1078,937,916,65,3250,2493,44.9,17.3,3469,1395,1659,469,NA,NA,NA,NA
"27","10003012600","Census Tract 126, New Castle County, Delaware",1618,198,NA,NA,822,184,29.2,5.9,717,295,1750,146,NA,NA,NA,NA
"28","10003012700","Census Tract 127, New Castle County, Delaware",1104,117,NA,NA,507,286,34.5,15.9,1131,89,1452,370,NA,NA,NA,NA
"29","10003013608","Census Tract 136.08, New Castle County, Delaware",1059,67,NA,NA,946,12,28.3,19.2,1104,32,NA,NA,1697,150,NA,NA
"30","10003013611","Census Tract 136.11, New Castle County, Delaware",1197,61,NA,NA,1235,121,27.2,2.9,1157,67,NA,NA,NA,NA,NA,NA
"31","10003001100","Census Tract 11, New Castle County, Delaware",1095,52,536,19,1022,62,27,2.9,1443,157,NA,NA,NA,NA,NA,NA
"32","10003002700","Census Tract 27, New Castle County, Delaware",1393,84,1524,202,1349,147,29,12.1,1227,136,1601,239,NA,NA,NA,NA
"33","10003010400","Census Tract 104, New Castle County, Delaware",1313,76,NA,NA,1146,28,17.7,2.4,1345,67,1565,497,1488,217,NA,NA
"34","10003011204","Census Tract 112.04, New Castle County, Delaware",1086,80,NA,NA,896,380,25.7,4.2,1130,65,NA,NA,NA,NA,NA,NA
"35","10003011900","Census Tract 119, New Castle County, Delaware",1120,135,NA,NA,NA,NA,27.5,41.2,981,67,1180,572,NA,NA,NA,NA
