"","GEOID","NAME","rent_30_10kE","rent_30_10kM","rent_35_10kE","rent_35_10kM","rent_40_10kE","rent_40_10kM","rent_50_10kE","rent_50_10kM","rent_30_20kE","rent_30_20kM","rent_35_20kE","rent_35_20kM","rent_40_20kE","rent_40_20kM","rent_50_20kE","rent_50_20kM","rent_30_35kE","rent_30_35kM","rent_35_35kE","rent_35_35kM","rent_40_35kE","rent_40_35kM","rent_50_35kE","rent_50_35kM","rent_30_50kE","rent_30_50kM","rent_35_50kE","rent_35_50kM","rent_40_50kE","rent_40_50kM","rent_50_50kE","rent_50_50kM","rent_30_75kE","rent_30_75kM","rent_35_75kE","rent_35_75kM","rent_40_75kE","rent_40_75kM","rent_50_75kE","rent_50_75kM"
"1","10001042000","Census Tract 420, Kent County, Delaware",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,11,16,0,12,0,12,7,13,0,12,0,12
"2","10001042900","Census Tract 429, Kent County, Delaware",0,12,0,12,0,12,0,12,0,12,0,12,0,12,28,41,2,3,0,12,0,12,20,24,6,10,27,38,0,12,0,12,2,3,0,12,0,12,0,12
"3","10001040700","Census Tract 407, Kent County, Delaware",0,12,0,12,0,12,52,75,0,12,0,12,19,32,173,127,51,63,0,12,55,85,51,62,0,12,15,25,24,38,0,12,9,17,0,12,0,12,0,12
"4","10001041400","Census Tract 414, Kent County, Delaware",0,12,0,12,8,13,111,82,9,16,13,20,6,13,107,70,53,46,61,66,21,24,67,47,60,39,28,44,0,12,0,12,19,30,0,12,0,12,0,12
"5","10001041500","Census Tract 415, Kent County, Delaware",0,12,9,18,0,12,31,40,0,12,0,12,0,12,121,79,23,37,65,62,45,59,43,32,27,33,0,12,35,35,0,12,25,29,0,12,0,12,0,12
"6","10001041801","Census Tract 418.01, Kent County, Delaware",0,19,0,19,3,5,18,16,0,19,0,19,18,24,74,57,10,8,14,11,40,44,62,49,24,29,65,72,20,34,0,19,10,15,0,19,54,77,0,19
"7","10001041802","Census Tract 418.02, Kent County, Delaware",0,17,0,17,0,17,15,24,0,17,0,17,0,17,13,21,0,17,0,17,19,22,40,41,0,17,54,67,56,58,20,31,0,17,0,17,50,76,0,17
"8","10001040100","Census Tract 401, Kent County, Delaware",0,17,0,17,0,17,0,17,0,17,0,17,0,17,10,11,0,17,23,35,9,11,2,3,19,28,46,55,0,17,0,17,30,47,0,17,0,17,0,17
"9","10001041100","Census Tract 411, Kent County, Delaware",0,12,0,12,0,12,19,20,0,12,0,12,0,12,17,20,0,12,0,12,0,12,231,91,10,15,53,53,240,100,101,64,104,75,74,52,0,12,0,12
"10","10001041200","Census Tract 412, Kent County, Delaware",25,41,0,12,0,12,7,13,0,12,0,12,16,25,0,12,12,20,8,12,16,18,54,54,0,12,45,50,0,12,33,49,8,14,0,12,14,22,0,12
