GEOID,NAME,rent_30E,rent_30M,rent_35E,rent_35M,rent_40E,rent_40M,rent_50E,rent_50M,rent_30_10kE,rent_30_10kM,rent_35_10kE,rent_35_10kM,rent_40_10kE,rent_40_10kM,rent_50_10kE,rent_50_10kM,rent_30_20kE,rent_30_20kM,rent_35_20kE,rent_35_20kM,rent_40_20kE,rent_40_20kM,rent_50_20kE,rent_50_20kM,rent_30_35kE,rent_30_35kM,rent_35_35kE,rent_35_35kM,rent_40_35kE,rent_40_35kM,rent_50_35kE,rent_50_35kM,rent_30_50kE,rent_30_50kM,rent_35_50kE,rent_35_50kM,rent_40_50kE,rent_40_50kM,rent_50_50kE,rent_50_50kM,rent_30_75kE,rent_30_75kM,rent_35_75kE,rent_35_75kM,rent_40_75kE,rent_40_75kM,rent_50_75kE,rent_50_75kM,med_rentE,med_rentM,no_bedE,no_bedM,one_bedE,one_bedM,med_rent_percE,med_rent_percM,two_bedE,two_bedM,three_bedE,three_bedM,four_bedE,four_bedM,five_bedE,five_bedM,eligible_old,eligible_renters
10001042000,"Census Tract 420, Kent County, Delaware",0,12,7,13,11,16,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,11,16,0,12,0,12,7,13,0,12,0,12,838,55,NA,NA,NA,NA,18.1,2.7,NA,NA,895,836,NA,NA,NA,NA,18,18
10001042900,"Census Tract 429, Kent County, Delaware",10,11,27,38,0,12,48,37,0,12,0,12,0,12,0,12,0,12,0,12,0,12,28,41,2,3,0,12,0,12,20,24,6,10,27,38,0,12,0,12,2,3,0,12,0,12,0,12,1132,156,NA,NA,NA,NA,26,4.4,1085,526,1175,202,NA,NA,NA,NA,85,85
10001040700,"Census Tract 407, Kent County, Delaware",60,65,15,25,98,103,276,158,0,12,0,12,0,12,52,75,0,12,0,12,19,32,173,127,51,63,0,12,55,85,51,62,0,12,15,25,24,38,0,12,9,17,0,12,0,12,0,12,807,271,NA,NA,768,335,45.5,13,515,102,1454,225,NA,NA,NA,NA,449,449
10001041400,"Census Tract 414, Kent County, Delaware",141,74,102,78,35,31,285,103,0,12,0,12,8,13,111,82,9,16,13,20,6,13,107,70,53,46,61,66,21,24,67,47,60,39,28,44,0,12,0,12,19,30,0,12,0,12,0,12,1022,66,322,210,953,46,35.6,3.8,1056,71,1082,331,1090,424,NA,NA,563,563
10001041500,"Census Tract 415, Kent County, Delaware",87,55,74,62,80,69,195,93,0,12,9,18,0,12,31,40,0,12,0,12,0,12,121,79,23,37,65,62,45,59,43,32,27,33,0,12,35,35,0,12,25,29,0,12,0,12,0,12,948,74,NA,NA,666,184,33.5,5.4,792,55,1423,117,1677,127,1773,256,436,424
10001041801,"Census Tract 418.01, Kent County, Delaware",44,35,79,72,139,89,154,74,0,19,0,19,3,5,18,16,0,19,0,19,18,24,74,57,10,8,14,11,40,44,62,49,24,29,65,72,20,34,0,19,10,15,0,19,54,77,0,19,1120,52,NA,NA,921,65,34.4,9.2,1076,39,1193,175,1174,139,NA,NA,416,412
10001041802,"Census Tract 418.02, Kent County, Delaware",0,17,54,67,125,100,88,61,0,17,0,17,0,17,15,24,0,17,0,17,0,17,13,21,0,17,0,17,19,22,40,41,0,17,54,67,56,58,20,31,0,17,0,17,50,76,0,17,1408,120,NA,NA,NA,NA,22.1,9.9,1376,51,1540,204,1154,58,NA,NA,267,267
10001040100,"Census Tract 401, Kent County, Delaware",49,55,69,65,9,11,12,11,0,17,0,17,0,17,0,17,0,17,0,17,0,17,10,11,0,17,23,35,9,11,2,3,19,28,46,55,0,17,0,17,30,47,0,17,0,17,0,17,1123,182,NA,NA,NA,NA,33,5.4,965,215,1326,118,NA,NA,NA,NA,139,139
10001041100,"Census Tract 411, Kent County, Delaware",114,82,127,71,240,100,368,108,0,12,0,12,0,12,19,20,0,12,0,12,0,12,17,20,0,12,0,12,0,12,231,91,10,15,53,53,240,100,101,64,104,75,74,52,0,12,0,12,1568,80,NA,NA,NA,NA,40.8,4.5,1300,115,1519,97,1792,69,NA,NA,849,849
10001041200,"Census Tract 412, Kent County, Delaware",57,50,53,51,46,37,94,74,25,41,0,12,0,12,7,13,0,12,0,12,16,25,0,12,12,20,8,12,16,18,54,54,0,12,45,50,0,12,33,49,8,14,0,12,14,22,0,12,1121,117,NA,NA,894,194,29.3,4.8,772,298,1190,105,1830,184,NA,NA,250,238
10001041900,"Census Tract 419, Kent County, Delaware",32,38,0,17,11,17,46,39,0,17,0,17,0,17,9,14,19,32,0,17,0,17,25,34,0,17,0,17,11,17,12,18,13,20,0,17,0,17,0,17,0,17,0,17,0,17,0,17,1014,325,NA,NA,NA,NA,24.7,12.2,1038,673,897,604,NA,NA,NA,NA,89,89
10001042201,"Census Tract 422.01, Kent County, Delaware",131,123,38,65,315,163,221,134,0,19,0,19,29,45,61,85,38,61,0,19,0,19,125,83,0,19,0,19,231,150,2,11,59,72,38,65,55,59,33,54,34,42,0,19,0,19,0,19,1108,156,NA,NA,NA,NA,33.1,8.4,971,220,1107,169,1380,117,NA,NA,705,705
10001042500,"Census Tract 425, Kent County, Delaware",97,78,96,74,112,110,148,75,45,59,0,12,0,12,66,49,0,12,0,12,0,12,82,67,30,38,0,12,82,96,0,12,22,40,96,74,30,49,0,12,0,12,0,12,0,12,0,12,959,38,NA,NA,397,243,28.2,4.1,960,49,1060,105,NA,NA,NA,NA,453,453
10001041000,"Census Tract 410, Kent County, Delaware",157,108,145,103,98,84,359,169,22,34,0,17,0,17,57,55,44,64,0,17,34,52,274,152,17,26,16,24,51,62,28,34,44,75,129,100,0,17,0,17,30,40,0,17,13,22,0,17,1055,71,NA,NA,810,210,32.3,6.1,1064,77,1416,231,1698,297,NA,NA,759,759
10003001600,"Census Tract 16, New Castle County, Delaware",68,49,33,33,47,40,154,65,0,12,26,30,0,12,58,40,12,12,0,12,10,16,75,49,56,48,0,12,37,37,18,20,0,12,7,12,0,12,3,6,0,12,0,12,0,12,0,12,912,64,NA,NA,705,121,30.2,6.8,974,48,1042,233,NA,NA,NA,NA,302,302
10003002300,"Census Tract 23, New Castle County, Delaware",87,87,27,21,56,54,201,115,0,12,0,12,0,12,51,61,0,12,0,12,0,12,62,74,72,84,16,19,40,49,65,53,15,25,11,17,16,27,23,36,0,12,0,12,0,12,0,12,1013,131,NA,NA,982,115,34,9.8,885,97,1072,176,1253,181,NA,NA,371,371
10003012000,"Census Tract 120, New Castle County, Delaware",0,12,44,47,0,12,68,46,0,12,0,12,0,12,19,22,0,12,0,12,0,12,28,26,0,12,9,15,0,12,21,34,0,12,25,41,0,12,0,12,0,12,10,15,0,12,0,12,994,95,NA,NA,941,20,24.3,7.8,971,65,1699,99,NA,NA,NA,NA,112,112
