"","GEOID","NAME","rent_30E","rent_30M","rent_35E","rent_35M","rent_40E","rent_40M","rent_50E","rent_50M","above30"
"1","10001042000","Census Tract 420, Kent County, Delaware",0,12,7,13,11,16,0,12,18
"2","10001042900","Census Tract 429, Kent County, Delaware",10,11,27,38,0,12,48,37,85
"3","10001040700","Census Tract 407, Kent County, Delaware",60,65,15,25,98,103,276,158,449
"4","10001041400","Census Tract 414, Kent County, Delaware",141,74,102,78,35,31,285,103,563
"5","10001041500","Census Tract 415, Kent County, Delaware",87,55,74,62,80,69,195,93,436
"6","10001041801","Census Tract 418.01, Kent County, Delaware",44,35,79,72,139,89,154,74,416
"7","10001041802","Census Tract 418.02, Kent County, Delaware",0,17,54,67,125,100,88,61,267
"8","10001040100","Census Tract 401, Kent County, Delaware",49,55,69,65,9,11,12,11,139
"9","10001041100","Census Tract 411, Kent County, Delaware",114,82,127,71,240,100,368,108,849
"10","10001041200","Census Tract 412, Kent County, Delaware",57,50,53,51,46,37,94,74,250
"11","10001041900","Census Tract 419, Kent County, Delaware",32,38,0,17,11,17,46,39,89
"12","10001042201","Census Tract 422.01, Kent County, Delaware",131,123,38,65,315,163,221,134,705
"13","10001042500","Census Tract 425, Kent County, Delaware",97,78,96,74,112,110,148,75,453
"14","10001041000","Census Tract 410, Kent County, Delaware",157,108,145,103,98,84,359,169,759
"15","10003001600","Census Tract 16, New Castle County, Delaware",68,49,33,33,47,40,154,65,302
"16","10003002300","Census Tract 23, New Castle County, Delaware",87,87,27,21,56,54,201,115,371
"17","10003012000","Census Tract 120, New Castle County, Delaware",0,12,44,47,0,12,68,46,112
"18","10003012200","Census Tract 122, New Castle County, Delaware",52,48,13,19,6,10,212,98,283
"19","10003012900","Census Tract 129, New Castle County, Delaware",159,81,131,74,47,40,135,74,472
"20","10003013200","Census Tract 132, New Castle County, Delaware",23,38,23,36,0,12,87,65,133
"21","10003013604","Census Tract 136.04, New Castle County, Delaware",21,23,0,12,54,46,34,38,109
"22","10003014200","Census Tract 142, New Castle County, Delaware",0,12,0,12,0,12,15,16,15
"23","10003014702","Census Tract 147.02, New Castle County, Delaware",5,8,0,12,4,6,13,18,22
"24","10003014705","Census Tract 147.05, New Castle County, Delaware",88,70,40,43,56,53,96,56,280
"25","10003001200","Census Tract 12, New Castle County, Delaware",35,33,13,13,40,32,15,13,103
"26","10003011400","Census Tract 114, New Castle County, Delaware",0,12,0,12,38,39,89,50,127
"27","10003012600","Census Tract 126, New Castle County, Delaware",66,55,11,19,0,12,11,17,88
"28","10003012700","Census Tract 127, New Castle County, Delaware",14,18,42,54,9,11,189,76,254
"29","10003013608","Census Tract 136.08, New Castle County, Delaware",3,5,17,25,16,15,90,34,126
"30","10003013611","Census Tract 136.11, New Castle County, Delaware",83,80,100,95,65,53,81,47,329
"31","10003001100","Census Tract 11, New Castle County, Delaware",162,88,26,33,103,87,274,147,565
"32","10003002700","Census Tract 27, New Castle County, Delaware",6,9,29,24,24,25,119,49,178
"33","10003010400","Census Tract 104, New Castle County, Delaware",19,22,16,18,28,35,70,41,133
"34","10003011204","Census Tract 112.04, New Castle County, Delaware",8,13,17,17,0,12,31,24,56
"35","10003011900","Census Tract 119, New Castle County, Delaware",0,12,9,16,6,10,60,48,75
"36","10003012500","Census Tract 125, New Castle County, Delaware",123,92,35,51,59,73,139,89,356
"37","10003013100","Census Tract 131, New Castle County, Delaware",6,12,10,11,10,10,26,30,52
"38","10003013300","Census Tract 133, New Castle County, Delaware",15,25,16,23,0,12,32,27,63
"39","10003013800","Census Tract 138, New Castle County, Delaware",103,64,39,41,19,26,136,102,297
"40","10003014000","Census Tract 140, New Castle County, Delaware",152,125,11,18,190,97,240,124,593
"41","10003014100","Census Tract 141, New Castle County, Delaware",10,17,24,24,85,69,40,45,159
"42","10003014403","Census Tract 144.03, New Castle County, Delaware",51,51,51,48,109,67,304,130,515
"43","10003014803","Census Tract 148.03, New Castle County, Delaware",40,32,0,12,58,54,32,26,130
"44","10003015000","Census Tract 150, New Castle County, Delaware",24,46,33,50,62,68,168,97,287
"45","10003015900","Census Tract 159, New Castle County, Delaware",61,57,45,58,0,12,17,21,123
"46","10005050405","Census Tract 504.05, Sussex County, Delaware",59,72,54,63,14,21,64,54,191
"47","10005050406","Census Tract 504.06, Sussex County, Delaware",7,12,102,79,172,110,212,118,493
"48","10005050407","Census Tract 504.07, Sussex County, Delaware",50,45,30,28,65,44,77,51,222
"49","10005050408","Census Tract 504.08, Sussex County, Delaware",36,41,10,16,0,12,96,63,142
"50","10005050503","Census Tract 505.03, Sussex County, Delaware",67,54,70,64,147,113,211,141,495
"51","10001040501","Census Tract 405.01, Kent County, Delaware",18,29,132,108,70,59,160,78,380
"52","10001040502","Census Tract 405.02, Kent County, Delaware",16,18,35,34,9,14,90,48,150
"53","10001043202","Census Tract 432.02, Kent County, Delaware",65,50,0,12,102,72,145,75,312
"54","10001043300","Census Tract 433, Kent County, Delaware",116,72,112,79,48,42,252,91,528
"55","10001043400","Census Tract 434, Kent County, Delaware",111,65,6,13,34,30,122,73,273
"56","10001990000","Census Tract 9900, Kent County, Delaware",0,12,0,12,0,12,0,12,0
"57","10003013903","Census Tract 139.03, New Castle County, Delaware",8,13,0,17,0,17,6,16,14
"58","10003013904","Census Tract 139.04, New Castle County, Delaware",147,104,106,108,115,98,226,134,594
"59","10003014809","Census Tract 148.09, New Castle County, Delaware",34,37,13,20,82,91,94,93,223
"60","10005051203","Census Tract 512.03, Sussex County, Delaware",0,12,0,12,0,12,0,12,0
"61","10005051204","Census Tract 512.04, Sussex County, Delaware",0,12,0,12,0,12,0,12,0
"62","10005051205","Census Tract 512.05, Sussex County, Delaware",0,12,0,12,2,3,0,12,2
"63","10005051305","Census Tract 513.05, Sussex County, Delaware",79,63,17,19,70,47,53,32,219
"64","10005051306","Census Tract 513.06, Sussex County, Delaware",11,18,19,20,0,12,26,20,56
"65","10005990000","Census Tract 9900, Sussex County, Delaware",0,12,0,12,0,12,0,12,0
"66","10003014404","Census Tract 144.04, New Castle County, Delaware",14,24,20,33,93,94,186,97,313
"67","10003014903","Census Tract 149.03, New Castle County, Delaware",56,68,30,36,33,38,355,144,474
"68","10003000300","Census Tract 3, New Castle County, Delaware",36,35,32,44,10,17,166,79,244
"69","10003000601","Census Tract 6.01, New Castle County, Delaware",28,29,18,23,59,47,172,75,277
"70","10003002100","Census Tract 21, New Castle County, Delaware",68,38,45,33,26,18,184,59,323
"71","10003002500","Census Tract 25, New Castle County, Delaware",43,54,30,48,105,53,99,87,277
"72","10003011201","Census Tract 112.01, New Castle County, Delaware",7,11,5,8,10,11,14,14,36
"73","10003011300","Census Tract 113, New Castle County, Delaware",0,12,0,12,15,14,52,31,67
"74","10003011500","Census Tract 115, New Castle County, Delaware",0,12,0,12,41,47,45,56,86
"75","10003011700","Census Tract 117, New Castle County, Delaware",0,12,0,12,0,12,31,40,31
"76","10003012300","Census Tract 123, New Castle County, Delaware",10,16,26,31,24,30,186,91,246
"77","10003014808","Census Tract 148.08, New Castle County, Delaware",117,60,0,17,116,113,156,96,389
"78","10003013610","Census Tract 136.10, New Castle County, Delaware",0,17,0,17,77,57,137,101,214
"79","10003013700","Census Tract 137, New Castle County, Delaware",22,22,59,48,64,50,168,83,313
"80","10003014904","Census Tract 149.04, New Castle County, Delaware",0,12,87,102,51,53,390,155,528
"81","10003016200","Census Tract 162, New Castle County, Delaware",79,66,28,24,45,49,96,68,248
"82","10003016301","Census Tract 163.01, New Castle County, Delaware",57,71,93,66,32,49,110,73,292
"83","10003016601","Census Tract 166.01, New Castle County, Delaware",114,112,21,34,21,34,180,116,336
"84","10003016602","Census Tract 166.02, New Castle County, Delaware",0,19,16,26,58,85,0,19,74
"85","10003016901","Census Tract 169.01, New Castle County, Delaware",0,12,0,12,0,12,11,13,11
"86","10003000602","Census Tract 6.02, New Castle County, Delaware",100,72,18,30,21,38,284,121,423
"87","10003002800","Census Tract 28, New Castle County, Delaware",9,14,41,39,52,45,188,79,290
"88","10003002900","Census Tract 29, New Castle County, Delaware",140,77,73,58,83,66,240,98,536
"89","10003001902","Census Tract 19.02, New Castle County, Delaware",27,25,18,15,36,36,178,70,259
"90","10003003002","Census Tract 30.02, New Castle County, Delaware",14,20,34,30,39,39,154,63,241
"91","10003010104","Census Tract 101.04, New Castle County, Delaware",139,81,63,66,95,81,265,115,562
"92","10003010502","Census Tract 105.02, New Castle County, Delaware",51,54,36,33,88,89,226,104,401
"93","10003010702","Census Tract 107.02, New Castle County, Delaware",41,46,20,31,261,169,367,219,689
"94","10003013505","Census Tract 135.05, New Castle County, Delaware",0,12,0,12,0,12,37,64,37
"95","10003013506","Census Tract 135.06, New Castle County, Delaware",0,12,0,12,0,12,22,31,22
"96","10003013614","Census Tract 136.14, New Castle County, Delaware",47,48,48,51,65,66,127,75,287
"97","10003013615","Census Tract 136.15, New Castle County, Delaware",47,47,8,14,26,32,82,57,163
"98","10003014706","Census Tract 147.06, New Castle County, Delaware",106,68,18,22,0,12,93,69,217
"99","10003014807","Census Tract 148.07, New Castle County, Delaware",38,37,15,24,24,30,29,35,106
"100","10003015400","Census Tract 154, New Castle County, Delaware",22,34,0,12,28,35,57,49,107
"101","10003000200","Census Tract 2, New Castle County, Delaware",29,54,152,135,46,56,253,150,480
"102","10003000900","Census Tract 9, New Castle County, Delaware",40,32,33,30,54,43,268,78,395
"103","10003010101","Census Tract 101.01, New Castle County, Delaware",150,85,113,71,97,74,188,83,548
"104","10003011205","Census Tract 112.05, New Castle County, Delaware",0,12,0,12,0,12,20,24,20
"105","10003013501","Census Tract 135.01, New Castle County, Delaware",16,25,11,18,68,64,91,67,186
"106","10003014300","Census Tract 143, New Castle County, Delaware",60,64,16,25,0,17,78,58,154
"107","10003013901","Census Tract 139.01, New Castle County, Delaware",59,46,22,24,8,12,18,21,107
"108","10003002400","Census Tract 24, New Castle County, Delaware",67,57,16,28,122,113,347,158,552
"109","10003015200","Census Tract 152, New Castle County, Delaware",68,55,75,60,0,17,126,68,269
"110","10003001500","Census Tract 15, New Castle County, Delaware",15,18,5,8,32,27,224,90,276
"111","10003011203","Census Tract 112.03, New Castle County, Delaware",111,98,37,39,26,32,180,108,354
"112","10003001400","Census Tract 14, New Castle County, Delaware",50,43,22,23,18,29,122,60,212
"113","10003012100","Census Tract 121, New Castle County, Delaware",10,15,16,25,13,17,99,60,138
"114","10003013607","Census Tract 136.07, New Castle County, Delaware",184,112,145,107,54,59,17,29,400
"115","10003015600","Census Tract 156, New Castle County, Delaware",5,10,0,12,43,36,20,17,68
"116","10003011206","Census Tract 112.06, New Castle County, Delaware",0,12,27,24,9,13,14,17,50
"117","10003000500","Census Tract 5, New Castle County, Delaware",22,32,20,33,61,48,136,74,239
"118","10003013503","Census Tract 135.03, New Castle County, Delaware",0,17,14,22,50,77,120,83,184
